,Unnamed: 0,MC_frame,rmf_frame_index,Total_Score,XLs_adh,XLs_bs3dss,XLs_dmtmm,XLs_psi_adh,XLs_psi_bs3dss,XLs_psi_dmtmm,CR_sum,EV_sum,GaussianEMRestraint_None,GaussianEMRestraint_None_CCC,GaussianEMRestraint_sigma_None,traj,rmf3_file,XLs_sum,half,cluster,frame_RMF3
81,9090,9090,557,463.713503627128,2.45451767295469,336.876503152357,26.5203516799167,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,28.7741625242757,108.26427194350401,0.34517713383269505,1,run_37,run_37//output//rmfs//7.rmf3,324.262541671632,A,2,h1_run_37_9090.rmf3
85,9348,9348,759,463.845561056444,3.2108422166808097,338.987833144841,28.7346210318867,-13.862943611198899,-13.862943611198899,-13.862943611198899,5.35751587661842e-05,21.6064542947118,108.877310528927,0.343101607600149,1,run_37,run_37//output//rmfs//7.rmf3,329.344465559812,A,2,h1_run_37_9348.rmf3
90,9843,9843,1150,464.05716498811205,2.36685938556495,335.003588996009,30.1305547653943,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.44218698825218894,24.0851507340777,108.35095279880301,0.34473942444088196,1,run_37,run_37//output//rmfs//7.rmf3,325.912172313371,A,2,h1_run_37_9843.rmf3
112,9866,9866,4985,464.83280434249,2.0609297144630503,328.965507150514,32.525186380766,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,29.065069165791996,108.247135132799,0.344985056108434,1,run_22,run_22//output//rmfs//4.rmf3,321.962792412147,A,2,h1_run_22_9866.rmf3
115,9698,9698,4817,464.85701156947897,3.40431021369653,331.573125054222,32.4713227006806,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.48669261253984997,22.482538965911104,108.706444075079,0.343470094718007,1,run_22,run_22//output//rmfs//4.rmf3,325.859927135002,A,2,h1_run_22_9698.rmf3
118,9710,9710,4829,464.88892510291396,2.13429148029165,333.721643719798,30.7743928652715,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.003996125216805,27.494979478538298,108.516617337246,0.34409636061359006,1,run_22,run_22//output//rmfs//4.rmf3,325.041497231765,A,2,h1_run_22_9710.rmf3
119,9633,9633,4752,464.90346840525496,2.01961299147504,330.250134789013,31.2780552360735,-13.862943611198899,-13.862943611198899,-13.862943611198899,1.0811448095748,27.8065104114765,108.72935061097401,0.343418224238584,1,run_22,run_22//output//rmfs//4.rmf3,321.958972182965,A,2,h1_run_22_9633.rmf3
123,8624,8624,5533,464.95995645168097,2.39714711651646,336.324219740541,30.163961630249,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,27.7553232312123,106.907418803425,0.349517729760803,1,run_3,run_3//output//rmfs//7.rmf3,327.29649765371005,A,2,h1_run_3_8624.rmf3
124,8506,8506,1155,464.981972181694,3.33323505470093,342.400390283905,29.531235888442698,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,21.624252775620498,106.541675843083,0.350860003724552,1,run_31,run_31//output//rmfs//7.rmf3,333.676030393452,A,2,h1_run_31_8506.rmf3
130,8510,8510,1159,465.081860921147,3.5687230542758,336.879903539597,31.1654377550667,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,20.799131160233397,108.68667538064399,0.34343936219479704,1,run_31,run_31//output//rmfs//7.rmf3,330.025233515342,A,2,h1_run_31_8510.rmf3
