,Unnamed: 0,MC_frame,rmf_frame_index,Total_Score,XLs_adh,XLs_bs3dss,XLs_dmtmm,XLs_psi_adh,XLs_psi_bs3dss,XLs_psi_dmtmm,CR_sum,EV_sum,GaussianEMRestraint_None,GaussianEMRestraint_None_CCC,GaussianEMRestraint_sigma_None,traj,rmf3_file,XLs_sum,half,cluster,frame_RMF3
116,9500,9500,7461,463.904311083329,3.74063716644774,341.224516883439,27.232214159584398,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,24.0357348490624,107.46868907291599,0.34778514639554503,1,run_29,run_29//output//rmfs//2.rmf3,330.608537375875,B,2,h2_run_29_9500.rmf3
117,6826,6826,4799,463.92976839055495,3.19225834908064,331.513910371059,31.298930762807103,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.231612705319268,24.466717273579,108.37317813971599,0.34458267165905393,1,run_29,run_29//output//rmfs//2.rmf3,324.41626864935,B,2,h2_run_29_6826.rmf3
118,9817,9817,7778,463.931455153439,2.8507257934951498,335.572380631845,25.57806438296,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.34491702590037704,26.6215088245675,108.298112220696,0.34486798627031795,1,run_29,run_29//output//rmfs//2.rmf3,322.412339974703,B,2,h2_run_29_9817.rmf3
120,6369,6369,4344,463.99334241446996,3.2017668276300495,342.958055926825,27.3256638364422,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,19.9915876035899,108.212617673229,0.34529124401469,1,run_29,run_29//output//rmfs//2.rmf3,331.8966557573,B,2,h2_run_29_6369.rmf3
122,6787,6787,4760,464.074186431838,3.53170518056807,339.39568668391104,26.9210673797761,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,23.500350044122502,106.650085881056,0.350569871973073,1,run_29,run_29//output//rmfs//2.rmf3,328.259628410658,B,2,h2_run_29_6787.rmf3
123,8010,8010,5971,464.077351465158,3.2199427863379597,336.903218101381,27.9070547076346,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.034116699951598,22.608673534538898,108.693098343622,0.3434296916107801,1,run_29,run_29//output//rmfs//2.rmf3,326.44138476175704,B,2,h2_run_29_8010.rmf3
126,6434,6434,4409,464.09192074185796,3.6423923137042404,332.77897245292,29.1934755065625,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,29.427567154024,108.423921073192,0.344428455962089,1,run_29,run_29//output//rmfs//2.rmf3,324.02600943959,B,2,h2_run_29_6434.rmf3
133,6783,6783,4756,464.19666990122596,3.49774124423166,340.385975571563,28.7922003852037,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,25.168461482235603,107.030936712361,0.349242797083961,1,run_29,run_29//output//rmfs//2.rmf3,331.087086367402,B,2,h2_run_29_6783.rmf3
138,8099,8099,6060,464.254139951591,3.16540072845308,334.724677168375,30.8495821959733,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.9992516308095659,22.092669606575104,107.500198944368,0.34752546191165096,1,run_29,run_29//output//rmfs//2.rmf3,327.150829259205,B,2,h2_run_29_8099.rmf3
139,6945,6945,4918,464.28405123539596,3.5039028157733196,336.482727356642,30.8642471840802,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,25.398914902572603,107.94520989834601,0.346144931435235,1,run_29,run_29//output//rmfs//2.rmf3,329.262046522899,B,2,h2_run_29_6945.rmf3
140,6899,6899,4872,464.286991824057,3.35617650216192,336.733514763614,32.4259916363091,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.669358752103531,22.4141339640433,106.917273602276,0.349736593163966,1,run_29,run_29//output//rmfs//2.rmf3,330.926852068488,B,2,h2_run_29_6899.rmf3
149,9158,9158,7119,464.45273356089007,3.6614850003691397,337.037514167417,33.0977703229969,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.103270992297905,20.697585647415398,108.661669612328,0.343590638766134,1,run_29,run_29//output//rmfs//2.rmf3,332.207938657186,B,2,h2_run_29_9158.rmf3
152,8630,8630,6591,464.52296079973297,2.96874263108698,339.17484324842496,27.0287274626862,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,27.740914097553397,107.144418189944,0.34889602896103195,1,run_29,run_29//output//rmfs//2.rmf3,327.583482508602,B,2,h2_run_29_8630.rmf3
154,9520,9520,7481,464.549310237584,3.6761727708873395,324.785791656282,35.559016118502605,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,27.2561423081334,108.474780346566,0.34434986633124604,1,run_29,run_29//output//rmfs//2.rmf3,322.432149712075,B,2,h2_run_29_9520.rmf3
